inc,sma,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency
0,6671,0.0,0,0,0.0,0,0,0,1
0,6871,0.0,0,0,0.0,0,0,0,1
0,7071,0.16667952674897119,0,10000,9999.228514118191,-777550000,80000,-10000.771545405447,12962
0,7271,0.29169238683127574,0,20000,11650.914320936921,-777580000,30000,-11652.026506395438,19468
0,7471,0.6916795267489712,0,40000,33540.15964080818,-777600000,20000,-33542.25132522607,16036
0,7671,0.6916795267489712,0,30000,23491.002795248078,-777600000,20000,-23492.02882725486,22896
0,7871,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
0,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
0,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
5,6671,0.0,0,0,0.0,0,0,0,1
5,6871,0.022608024691358024,0,10000,9994.31495167709,-777150000,50570000,-10233.219567690558,1759
5,7071,0.15491255144032923,0,10000,9999.169917821864,-777550000,240000,-10000.830151087497,12047
5,7271,0.28738425925925926,0,20000,11634.214910453977,-777580000,540000,-11635.341281824334,19208
5,7471,0.6966949588477366,0,40000,33783.36243452232,-777600000,20000,-33785.46928593701,16036
5,7671,0.696875,0,60000,24290.196781567978,-777600000,20000,-24291.285637439483,22309
5,7871,0.9843878600823045,0,60390000,629490.1315789474,-777600000,10000,-630008.2304526749,1216
5,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
5,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
10,6671,0.0,0,0,0.0,0,0,0,1
10,6871,0.05212191358024691,0,10000,9997.533300444005,-777580000,46850000,-10007.40192450037,4054
10,7071,0.1392232510288066,0,10000,9999.076383116284,-777550000,21420000,-10000.923702198412,10827
10,7271,0.2747299382716049,0,20000,11956.679912688196,-777580000,2980000,-11957.90887719691,17867
10,7471,0.682420267489712,0,40000,33091.16986779746,-777600000,20000,-33093.23355160586,16036
10,7671,0.6822530864197531,0,60000,23857.5347393983,-777600000,20000,-23858.607663248786,22237
10,7871,0.9523405349794238,0,49860000,199714.1316073355,-777600000,10000,-199768.00647423792,3708
10,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
10,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
15,6671,0.0,0,0,0.0,0,0,0,1
15,6871,0.06920010288065843,0,10000,9998.141954663693,-777580000,44130000,-10005.575171901133,5382
15,7071,0.14193672839506172,0,10000,9999.09403877514,-777550000,28420000,-10000.90604330887,11038
15,7271,0.2606610082304527,0,20000,12399.216981709182,-777590000,5580000,-12401.199070108894,16347
15,7471,0.6625,0,40000,30428.824571766098,-777600000,30000,-30430.62200956938,16930
15,7671,0.6625514403292181,0,60000,23550.92338635948,-777600000,30000,-23552.0,21876
15,7871,0.9323302469135802,0,45450000,137724.1641337386,-777600000,10000,-137750.3325099753,5264
15,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
15,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
20,6671,0.0,0,0,0.0,0,0,0,1
20,6871,0.08463220164609053,0,10000,9998.480704952903,-777580000,42270000,-10004.55857772375,6582
20,7071,0.15299639917695473,0,10000,9999.159522608841,-777600000,28900000,-10000.84054803732,11898
20,7271,0.2414351851851852,0,20000,12569.630423138726,-777590000,13940000,-12571.811181787747,14936
20,7471,0.6181069958847737,0,40000,26151.58604929539,-777600000,30000,-26153.009032538906,18379
20,7671,0.6181970164609053,0,60000,21754.536814952255,-777600000,30000,-21755.52136133237,22097
20,7871,0.9203575102880659,0,42530000,115523.80952380953,-777600000,10000,-115542.46044559251,6195
20,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
20,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
25,6671,0.003742283950617284,0,10000,9965.753424657534,-713020000,74830000,-47766.32302405498,292
25,6871,0.1024048353909465,0,20000,10480.389576204265,-777580000,40220000,-10485.718046597342,7598
25,7071,0.16126543209876543,0,10000,9999.202615421418,-777600000,28650000,-10000.79744816587,12541
25,7271,0.23640689300411522,0,20000,12577.312534209086,-777590000,19570000,-12579.54156688334,14616
25,7471,0.5733796296296296,0,40000,23001.44449030128,-777600000,30000,-23002.631171645255,19384
25,7671,0.5737782921810699,0,60000,19565.427118049465,-777600000,30000,-19566.285137920448,22804
25,7871,0.891872427983539,0,15110000,82463.73365041616,-777600000,10000,-82473.54025448924,8410
25,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
25,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
30,6671,0.015534979423868313,0,10000,9991.72870140612,-716480000,65960000,-16051.324503311258,1209
30,6871,0.11332304526748971,0,20000,10852.216748768473,-777580000,37400000,-10857.248429609557,8120
30,7071,0.16518775720164608,0,10000,9999.221547563444,-777600000,28560000,-10000.778513040093,12846
30,7271,0.22672325102880658,0,20000,12288.283264794034,-777590000,19970000,-12290.533946744737,14347
30,7471,0.5260030864197531,0,40000,20443.84465437097,-777600000,40000,-20444.866540037987,20007
30,7671,0.5265560699588477,0,60000,17218.25063078217,-777600000,50000,-17218.97472559822,23780
30,7871,0.8364840534979424,0,10620000,66719.66355523643,-777600000,330000,-66726.50800164136,9749
30,8071,0.9558256172839507,0,58730000,216249.6363107361,-777600000,10000,-216312.57275902212,3437
30,8271,0.9560570987654321,0,58530000,217440.77215560107,-777600000,10000,-217504.38853130487,3419
35,6671,0.028189300411522632,0,10000,9995.440036479707,-776570000,57910000,-10652.372262773722,2193
35,6871,0.11693672839506172,0,20000,10826.28884390999,-777580000,34300000,-10831.150273874731,8399
35,7071,0.1633101851851852,0,10000,9999.212598425196,-777600000,26450000,-10000.787463579809,12700
35,7271,0.21974022633744855,0,20000,11856.09214543436,-777590000,17940000,-11858.302685448616,14412
35,7471,0.4825360082304527,0,40000,19000.405104314363,-777600000,70000,-19001.367296298173,19748
35,7671,0.4828832304526749,0,60000,15722.720040197639,-777600000,80000,-15723.378417989197,23882
35,7871,0.7781893004115227,0,6290000,56701.64917541229,-777600000,480000,-56706.96279636398,10672
35,8071,0.8973894032921811,0,45650000,88162.98168035375,-777600000,20000,-88174.12180945161,7915
35,8271,0.8977237654320988,0,45550000,87752.35700817096,-777600000,10000,-87763.389489565,7955
40,6671,0.031198559670781893,0,10000,9995.8796868562,-777480000,53160000,-10057.708161582852,2427
40,6871,0.1123070987654321,0,20000,10443.673762257833,-777580000,31010000,-10448.510943667026,8362
40,7071,0.15381944444444445,0,10000,9999.16401939475,-777550000,24700000,-10000.83605049745,11962
40,7271,0.20919495884773662,0,20000,11395.446584938703,-777580000,17220000,-11397.646069777218,14275
40,7471,0.4289994855967078,0,40000,17493.838166657926,-777600000,130000,-17495.80448919656,19069
40,7671,0.428832304526749,0,30000,14150.046677416618,-777600000,90000,-14151.071504349671,23566
40,7871,0.7140689300411522,0,2320000,48124.4583116658,-777600000,570000,-48128.629626419344,11538
40,8071,0.8339634773662551,0,33760000,53638.54425144748,-777600000,20000,-53642.98122259905,12090
40,8271,0.8340792181069959,0,33810000,50261.93428394297,-777600000,10000,-50265.82965201891,12904
45,6671,0.028305041152263375,0,10000,9995.458673932788,-777480000,48630000,-10063.607451158565,2202
45,6871,0.10542695473251029,0,20000,10166.170634920634,-777580000,29150000,-10171.152176609203,8064
45,7071,0.14411008230452674,0,10000,9999.107700544302,-777550000,22610000,-10000.892379082634,11207
45,7271,0.1952803497942387,0,20000,11008.40945338553,-777580000,16900000,-11038.93279199594,13794
45,7471,0.3902649176954732,0,40000,16270.977427483782,-777600000,180000,-16272.922252010723,18651
45,7671,0.3904963991769547,0,30000,13325.58037477509,-777600000,90000,-13326.604055121566,22787
45,7871,0.6384002057613168,0,1060000,43062.10964607911,-777600000,630000,-43110.95688383795,11528
45,8071,0.7705761316872428,0,13210000,37974.52310032321,-777600000,20000,-37976.92990239574,15779
45,8271,0.7709104938271605,0,13480000,33654.83943408938,-777600000,20000,-33656.72898770423,17812
50,6671,0.020113168724279835,0,10000,9993.610223642172,-777480000,46240000,-10089.514066496164,1565
50,6871,0.0953832304526749,0,20000,10032.463140808874,-777580000,27290000,-10037.878787878788,7393
50,7071,0.13290895061728394,0,10000,9999.032507739938,-777550000,21360000,-10000.967585873246,10336
50,7271,0.17813786008230453,0,20000,10493.939393939394,-777580000,16860000,-10525.797408894614,13200
50,7471,0.3579861111111111,0,40000,14934.814099468857,-777590000,180000,-14936.688485889044,18639
50,7671,0.35725308641975306,0,30000,12510.132396649555,-777600000,90000,-12511.146138257149,22206
50,7871,0.5655992798353909,0,980000,40587.85529715762,-777600000,690000,-40643.28564836179,10836
50,8071,0.6698173868312757,0,160000,23766.82637462925,-777600000,20000,-23768.36725381035,21915
50,8271,0.6693415637860082,0,280000,20444.653939822452,-777600000,20000,-20445.849864477354,25458
55,6671,0.01685956790123457,0,10000,9992.378048780487,-777470000,1850000,-10320.366132723113,1312
55,6871,0.08037551440329219,0,10000,9998.400255959046,-777590000,480000,-10043.2,6251
55,7071,0.11323302469135803,0,10000,9998.864410629116,-777570000,250000,-10002.271436683703,8806
55,7271,0.15833333333333333,0,20000,10576.410961257623,-777600000,170000,-10580.756013745704,11641
55,7471,0.32449845679012346,0,30000,12648.754323524989,-777580000,60000,-12650.892320032084,19949
55,7671,0.3241898148148148,0,30000,12657.662181160877,-777600000,120000,-12659.804167712779,19916
55,7871,0.5083204732510288,0,60000,30003.79535448611,-777600000,70000,-30008.350413725042,13174
55,8071,0.5937628600823045,0,40000,28325.766871165644,-777600000,30000,-28328.118289465612,16300
55,8271,0.5926054526748972,0,50000,18458.241538153416,-777600000,20000,-18459.3815093735,24965
60,6671,0.015136316872427984,0,10000,9991.51103565365,-777590000,42340000,-10050.977060322855,1178
60,6871,0.07106481481481482,0,10000,9998.190700199022,-777600000,24620000,-10009.048136083966,5527
60,7071,0.1027391975308642,0,10000,9998.74843554443,-777540000,18520000,-10002.50344223307,7990
60,7271,0.14066358024691358,0,20000,10019.23605386095,-777600000,16620000,-10063.209967020886,10917
60,7471,0.29564043209876545,0,30000,11603.573591762568,-777570000,180000,-11606.178385745294,19812
60,7671,0.2951003086419753,0,20000,10619.18645009024,-777600000,90000,-10621.066271751204,21609
60,7871,0.46602366255144034,0,860000,44617.08938685053,-777600000,820000,-44695.23457702254,8122
60,8071,0.5444701646090535,0,40000,15421.432213885044,-777600000,20000,-15422.358212217245,27454
60,8271,0.5446630658436215,0,160000,12457.497499852932,-777600000,60000,-12458.158072771126,33998
65,6671,0.014017489711934157,0,10000,9990.83409715857,-776960000,40610000,-10055.045871559632,1091
65,6871,0.06607510288065843,0,10000,9998.054096127651,-777600000,23380000,-10009.731413001167,5139
65,7071,0.09528034979423869,0,10000,9998.650472334682,-777540000,17770000,-10002.699419624782,7410
65,7271,0.13020833333333334,0,10000,9999.012443215484,-777600000,16620000,-10050.37037037037,10126
65,7471,0.2768132716049383,0,20000,10971.507212396147,-777570000,180000,-10974.10541339586,19619
65,7671,0.2768904320987654,0,20000,10285.673338747432,-777600000,90000,-10287.59793617428,20933
65,7871,0.4371527777777778,0,810000,46017.32773791796,-777600000,850000,-46106.14676414839,7387
65,8071,0.5096707818930041,0,20000,14363.063095712681,-777600000,20000,-14363.946071325021,27593
65,8271,0.5096064814814815,0,100000,11214.342313787638,-777600000,60000,-11214.942691382483,35336
70,6671,0.01301440329218107,0,10000,9990.128331688054,-776960000,38660000,-10059.288537549408,1013
70,6871,0.062474279835390945,0,10000,9997.941963366948,-777600000,21710000,-10020.584602717168,4859
70,7071,0.09036779835390947,0,10000,9998.577120091064,-777540000,17270000,-10002.846164792942,7028
70,7271,0.12451131687242799,0,10000,9998.967262212125,-777600000,12230000,-10052.67506713489,9683
70,7471,0.26392746913580245,0,20000,10686.279614683675,-777570000,180000,-10688.918975213497,19205
70,7671,0.26368312757201645,0,20000,10157.031753108437,-777600000,90000,-10159.021103735262,20187
70,7871,0.4163451646090535,0,740000,46703.69301788806,-777600000,880000,-46798.44178329245,6932
70,8071,0.48524948559670783,0,20000,13674.84506940166,-777600000,20000,-13675.703102348507,27593
70,8271,0.4850308641975309,0,60000,10578.039545645772,-777600000,80000,-10578.616704998036,35655
75,6671,0.012319958847736626,0,10000,9989.572471324296,-775010000,36490000,-37776.61795407098,959
75,6871,0.05991512345679012,0,10000,9997.85407725322,-777600000,20470000,-10021.463833440652,4660
75,7071,0.08670267489711934,0,10000,9998.516980572445,-777540000,15430000,-10002.966478789676,6743
75,7271,0.12074331275720164,0,10000,9998.935037273695,-777600000,12070000,-10054.318883800192,9390
75,7471,0.2547067901234568,0,20000,10553.631374220706,-777570000,180000,-10556.325269103698,18767
75,7671,0.2538451646090535,0,20000,10062.703915171289,-777600000,90000,-10064.746367575835,19616
75,7871,0.40190329218106996,0,700000,47194.20114768952,-777600000,880000,-47293.46020238635,6622
75,8071,0.4679655349794239,0,20000,13187.765012865582,-777600000,20000,-13188.605392867497,27593
75,8271,0.46757973251028806,0,40000,10245.723786175218,-777600000,80000,-10246.294313250295,35487
80,6671,0.01198559670781893,0,10000,9989.281886387997,-775010000,35610000,-41115.87982832618,933
80,6871,0.05828189300411522,0,10000,9997.793955437899,-777510000,19850000,-10022.06531332745,4533
80,7071,0.08447788065843621,0,10000,9998.47792998478,-777540000,15090000,-10003.044603440401,6570
80,7271,0.11709104938271606,0,10000,9998.901822973863,-777600000,7160000,-10056.013179571664,9106
80,7471,0.2483539094650206,0,20000,10463.238879557892,-777570000,180000,-10465.973125270915,18457
80,7671,0.24832818930041153,0,20000,10015.560165975105,-777600000,90000,-10017.635769490118,19280
80,7871,0.3919495884773663,0,660000,47451.34672271524,-777600000,880000,-47556.83587667393,6423
80,8071,0.4559542181069959,0,20000,12849.273366433516,-777600000,20000,-12850.101478689476,27593
80,8271,0.4559927983539095,0,30000,10090.782321636927,-777600000,80000,-10091.354089589619,35139
85,6671,0.011818415637860083,0,10000,9989.130434782608,-774790000,33880000,-41316.64853101197,920
85,6871,0.057484567901234566,0,10000,9997.763363900693,-777510000,18610000,-10022.371364653243,4471
85,7071,0.08330761316872427,0,10000,9998.456551937028,-777540000,14090000,-10003.087372645878,6479
85,7271,0.11509773662551441,0,10000,9998.882806390347,-777600000,7150000,-10056.983240223464,8951
85,7471,0.2448559670781893,0,20000,10419.174783845901,-777570000,180000,-10421.93400098506,18274
85,7671,0.24445730452674896,0,20000,10000.0,-777600000,90000,-10002.104377104377,19009
85,7871,0.3864454732510288,0,640000,47660.586835844566,-777600000,870000,-47768.08375634518,6305
85,8071,0.44926697530864196,0,20000,12660.819773130866,-777600000,20000,-12661.64105537837,27593
85,8271,0.4493312757201646,0,20000,10034.751141618082,-777600000,80000,-10035.326555230053,34819
90,6671,0.011599794238683127,0,10000,9988.925802879292,-772840000,31930000,-42150.77605321508,903
90,6871,0.05694444444444444,0,10000,9997.742153985098,-777510000,17050000,-10022.583559168925,4429
90,7071,0.08275462962962964,0,10000,9998.446239900559,-777540000,12840000,-10003.108003108004,6436
90,7271,0.11487911522633745,0,10000,9998.880680546228,-777600000,12180000,-10057.091682525468,8934
90,7471,0.24360853909465022,0,20000,10405.954735223027,-777570000,130000,-10408.723836730209,18204
90,7671,0.24358281893004116,0,10000,9998.944201024126,-777600000,90000,-10001.055854714392,18943
90,7871,0.38459362139917697,0,640000,47841.9452887538,-777600000,860000,-47950.4,6251
90,8071,0.44693930041152263,0,20000,12595.22342623129,-777600000,20000,-12596.042331110466,27593
90,8271,0.4470293209876543,0,20000,10021.333640845274,-777600000,80000,-10021.910857406447,34687
95,6671,0.01179269547325103,0,10000,9989.106753812635,-772840000,33900000,-44231.18865866958,918
95,6871,0.05717592592592593,0,10000,9997.75129300652,-777510000,18290000,-10022.492127755286,4447
95,7071,0.08324331275720165,0,10000,9998.455359901143,-777540000,13130000,-10003.08975745404,6474
95,7271,0.11521347736625515,0,10000,9998.88392857143,-777600000,12340000,-10056.925996204933,8960
95,7471,0.24465020576131688,0,20000,10420.68361086766,-777570000,130000,-10423.445631333881,18256
95,7671,0.24471450617283952,0,20000,9999.474513925381,-777600000,90000,-10001.576541068895,19030
95,7871,0.38634259259259257,0,660000,47708.43258694617,-777600000,870000,-47812.89707750953,6297
95,8071,0.44897119341563785,0,20000,12652.484325734787,-777600000,20000,-12653.305305885764,27593
95,8271,0.4493312757201646,0,20000,10037.05725201804,-777600000,80000,-10037.632864119505,34811
